,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
197,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
198,Boult,"Black, True Wireless","('60H', 'H')","₹1,499","₹3,999",3.9,(99),62% off
199,Mivi,"Iconic Black, True Wireless",,"₹1,499","₹6,499",4,(440),76% off
200,Aroma,"Electric White, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
201,Noise,"Midnight Blue, True Wireless","('50 H', 'H')",₹899,"₹2,999",4,"(5,99,343)",70% off
202,boAt,"Black Sabre, True Wireless","('40 hrs', 'hrs')","₹1,499","₹3,499",4.1,"(3,639)",57% off
203,boAt,"Gunmetal White, True Wireless",,"₹2,999","₹17,990",4,"(1,172)",83% off
204,Mivi,"Reflective Peach, True Wireless",,"₹2,199","₹6,499",4,"(1,636)",66% off
205,Aroma,"Galaxy Black, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
206,Aroma,"Electric Blue, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
207,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
208,boAt,"Chrome White, True Wireless",,"₹1,299","₹6,490",4,"(2,220)",79% off
209,OnePlus,"Obsidian Black, True Wireless",,"₹7,099","₹13,999",4.4,"(7,845)",49% off
210,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
211,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
212,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
213,vivo,"Bright White, True Wireless",,"₹1,899","₹2,499",4.1,"(5,833)",24% off
214,truke,"Black, True Wireless",,₹999,"₹3,499",4,"(10,733)",71% off
215,Number,"Glass Beige, True Wireless",,₹899,"₹4,999",4,"(21,438)",82% off
216,Aroma,"White, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
217,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
218,boAt,"Black Sabre, True Wireless","('40 H', 'H')","₹1,299","₹3,499",4,"(12,58,722)",62% off
219,Saztech,"White, True Wireless",,₹499,"₹4,999",3.6,(32),90% off
220,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
221,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
222,Mivi,"Space Black, True Wireless",,"₹3,999","₹6,999",4,(25),42% off
223,truke,"Green, True Wireless",,"₹1,399","₹3,999",4.8,(420),65% off
224,boAt,"White Sabre, True Wireless","('40 H', 'H')","₹1,299","₹3,499",4,"(1,26,856)",62% off
225,TRIGGR,"Cobalt Blue, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
226,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
227,Boult,"Powder Blue, True Wireless","('60H', 'H')",₹999,"₹5,999",4.1,"(74,168)",83% off
228,realme,"Astral Black, True Wireless",,"₹4,999","₹7,999",4.4,"(21,859)",37% off
229,truke,"Blue, True Wireless","('72 Hours', 'Hours')","₹1,099","₹3,999",4,"(74,269)",72% off
230,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
231,Boult,"Black, True Wireless","('70H', 'H')",₹999,"₹3,499",4.1,"(31,256)",71% off
232,Noise,"True Purple, True Wireless","('45 H', 'H')",₹999,"₹2,499",4.1,"(32,865)",60% off
233,boAt,"Red, True Wireless","('30 HRS', 'HRS')","₹1,149","₹3,490",4,"(49,422)",67% off
234,TOWST,"Black & Red, True Wireless",,₹473,"₹2,999",4.1,(7),84% off
235,Boult,"Black, True Wireless","('80 H', 'H')","₹1,299","₹3,499",4.1,"(2,340)",62% off
236,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
237,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
238,boAt,"White Sabre, True Wireless","('40 H', 'H')",₹999,"₹5,990",4.2,"(2,376)",83% off
239,TRIGGR,"Blaze White, True Wireless","('40H', 'H')",₹699,"₹2,999",4,"(42,420)",76% off
240,Aroma,"Electric White, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
241,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
242,PTron,"Blue, True Wireless","('40hrs', 'hrs')",₹699,"₹2,899",4,(699),75% off
243,Noise,"Lake Blue, True Wireless","('50H', 'H')","₹2,499","₹5,499",4,"(3,857)",54% off
244,boAt,"Black Sabre, True Wireless","('40 H', 'H')",₹999,"₹5,990",4.2,"(2,376)",83% off
245,boAt,"Northern Lights, True Wireless","('120HRS', 'HRS')","₹1,999","₹8,999",4.1,"(1,07,333)",77% off
246,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
247,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
248,Noise,"Aura Black, True Wireless","('60 Hours', 'Hours')","₹1,499","₹4,499",4,"(5,452)",66% off
249,Google,"Porcelain, True Wireless",,"₹22,900",,4.8,(102),
250,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
251,Aroma,"Galaxy Black, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
252,PTron,"Black, True Wireless","('45hrs', 'hrs')",₹699,"₹3,199",4.1,(64),78% off
253,realme,"Sunrise Beige, True Wireless",,"₹4,999","₹7,999",4.4,"(21,859)",37% off
254,moto,"Forest Gray, True Wireless",,"₹6,999","₹11,999",4.1,"(3,065)",41% off
255,Edyell,"Black2, True Wireless","('48 HRS', 'HRS')","₹1,119","₹5,999",4,(147),81% off
256,Noise,"Midnight Blue, True Wireless","('50 H', 'H')",₹899,"₹2,999",4,"(5,99,343)",70% off
257,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,340)",84% off
258,PTron,"Green, True Wireless","('40hrs', 'hrs')",₹699,"₹2,899",4,(699),75% off
259,U7,"White, Black, True Wireless",,₹504,"₹1,999",4.3,(8),74% off
260,Aroma,"White, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
261,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
262,U7,"Black, True Wireless",,₹486,"₹1,999",5,(5),75% off
263,SONY,"Black, True Wireless","('20H', 'H')","₹4,490","₹8,990",4.1,"(12,729)",50% off
264,TRIGGR,"Black Inferno, True Wireless",,"₹1,099","₹3,999",4.2,"(2,392)",72% off
265,SONY,"Sage Green, True Wireless","('20H', 'H')","₹6,990","₹12,990",4.1,(966),46% off
266,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
267,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
268,PTron,"Blue, True Wireless","('45hrs', 'hrs')",₹699,"₹3,199",4.1,(64),78% off
269,LAVA,"Blue, True Wireless",,"₹1,249","₹2,499",4.1,(15),50% off
270,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
271,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
272,Noise,"Aura White, True Wireless","('60 Hours', 'Hours')","₹1,499","₹4,499",4,"(5,452)",66% off
273,Number,"Grey Forest, True Wireless","('66H', 'H')","₹1,299","₹7,999",4.1,"(2,039)",83% off
274,realme,"Youth White, True Wireless",,"₹1,799","₹3,999",4.3,"(1,18,090)",55% off
275,Noise,"Black, True Wireless",,₹999,"₹3,999",4,"(1,101)",75% off
276,CMF,"Dark Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
277,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
278,house,"White, True Wireless",,₹389,"₹1,999",4,(47),80% off
279,TecSox,"White, True Wireless","('40hrs', 'hrs')","₹1,178","₹5,999",4.3,(28),80% off
280,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
281,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
282,Mivi,"Crystalline Blue, True Wireless",,"₹2,199","₹6,499",4,"(1,636)",66% off
283,TRIGGR,"Indigo Honey, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
284,Number,"Glass Orange, True Wireless",,₹899,"₹4,999",4,"(21,438)",82% off
285,boAt,"Viper Green, True Wireless","('60 hours', 'hours')",₹999,"₹2,990",4,"(19,47,168)",66% off
286,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
287,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
288,SONY,"Orange, True Wireless","('20H', 'H')","₹4,490","₹8,990",4.1,"(12,729)",50% off
289,U7,"Black, True Wireless",,₹473,"₹1,999",4.1,(8),76% off
290,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
291,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
292,truke,"Champagne Gold, True Wireless","('48H', 'H')",₹799,"₹2,499",4,"(12,252)",68% off
293,Marshall,"Black, True Wireless","('30HRS', 'HRS')","₹17,999","₹19,999",4.1,(42),10% off
294,Noise,"Coal Black, True Wireless","('50H', 'H')","₹2,499","₹5,499",4,"(3,857)",54% off
295,SONY,"Silver, True Wireless",,"₹22,990","₹29,990",4.2,(349),23% off
296,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
297,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
298,TRIGGR,"Blue, True Wireless",,"₹1,099","₹3,999",4.2,"(2,392)",72% off
299,PTron,"Black, True Wireless","('40hrs', 'hrs')",₹699,"₹2,899",4,(699),75% off
300,Boult,"Powder Blue, True Wireless","('60H', 'H')",₹999,"₹5,999",4.1,"(74,168)",83% off
301,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
302,PTron,"Brown, True Wireless","('34 H', 'H')",₹699,"₹2,899",4,(237),75% off
303,Boult,"Khaki Green, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
304,TRIGGR,"Cobalt Mariner, True Wireless",,"₹1,099","₹3,999",4.2,"(2,392)",72% off
305,OnePlus,"Obsidian Black, True Wireless",,"₹11,999",,4,"(1,514)",
306,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
307,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,340)",84% off
308,JBL,"Silver, True Wireless",,"₹14,999","₹24,999",4.2,(294),40% off
309,Mivi,"Emerald Green, True Wireless",,₹999,"₹4,999",4,"(11,406)",80% off
310,Noise,"Navy Grain, True Wireless","('40H', 'H')","₹1,199","₹3,499",4.3,"(1,450)",65% off
311,Boult,"Denim Blue, True Wireless","('48H', 'H')",₹899,"₹2,999",4.1,"(1,32,105)",70% off
312,VMV,"Black, True Wireless","('48H', 'H')",₹420,"₹1,499",4,(8),71% off
313,truke,"Blue, True Wireless","('30H', 'H')",₹999,"₹3,499",4,"(84,722)",71% off
314,PTron,"Light Blue, True Wireless","('40hrs', 'hrs')",₹699,"₹2,899",4,(699),75% off
315,Noise,"Forest Green, True Wireless","('50H', 'H')","₹1,099","₹3,999",4.1,"(2,505)",72% off
316,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,199","₹3,499",4.3,"(1,450)",65% off
317,Boult,"Space Black, True Wireless","('35H', 'H')",₹899,"₹2,499",4.1,"(1,70,066)",64% off
318,Number,"Blue Lava, True Wireless","('66H', 'H')","₹1,299","₹7,999",4.1,"(2,039)",83% off
319,Noise,"Purple, True Wireless",,₹999,"₹3,999",4,"(1,101)",75% off
320,Aroma,"Electric White, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
321,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
322,Mivi,"Blue, True Wireless","('45H', 'H')",₹799,"₹2,999",4,"(10,481)",73% off
323,Nu,"Yellow, True Wireless","('60hrs', 'hrs')","₹1,599","₹4,999",4.6,(115),68% off
324,Dubstep,"Black, Yellow, True Wireless","('50 hrs', 'hrs')",₹699,"₹2,999",4.4,(595),76% off
325,PTron,"Mint Julep, True Wireless","('45hrs', 'hrs')",₹699,"₹3,199",4.1,(64),78% off
326,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
327,Noise,"Midnight Blue, True Wireless","('50 H', 'H')",₹899,"₹2,999",4,"(5,99,343)",70% off
328,PTron,"Black, True Wireless","('50hrs', 'hrs')",₹699,"₹3,799",4.1,(240),81% off
329,SONY,"Yellow, True Wireless",,"₹3,990","₹8,990",4.2,(434),55% off
330,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
331,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
332,ERRAYNIX,"Sky Blue, White, True Wireless","('36 H', 'H')",₹583,"₹2,599",5,(3),77% off
333,Mivi,"Aspiring Blue, True Wireless",,"₹1,499","₹6,499",4,(440),76% off
334,boAt,"Black sabre, True Wireless","('40 H', 'H')","₹1,299","₹3,499",4,"(1,26,856)",62% off
335,Edyell,"Blue, True Wireless","('48 HRS', 'HRS')","₹1,119","₹5,999",4,(147),81% off
336,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
337,Aroma,"Galaxy Black, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
338,Beats,"Volt Yellow, True Wireless",,"₹20,990","₹22,900",4.4,(34),8% off
339,Sennheiser,"Black Copper, True Wireless",,"₹19,990","₹29,990",4,(58),33% off
340,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
341,Aroma,"White, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
342,OPPO,"Green, True Wireless",,"₹4,999","₹7,999",4.3,"(7,247)",37% off
343,Nu,"Blue, True Wireless","('48 hrs', 'hrs')",₹799,"₹3,499",4.1,(495),77% off
344,Edyell,"White, True Wireless","('48 HRS', 'HRS')","₹1,119","₹5,999",4,(147),81% off
345,Mivi,"Callisto Peach, True Wireless",,"₹1,499","₹5,999",4.1,"(1,171)",75% off
346,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
347,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
348,FIREGOLD,"Black, True Wireless",,₹595,"₹2,999",4,(79),80% off
349,Seashot,"Black, True Wireless",,₹442,"₹1,899",4,(25),76% off
350,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
351,Boult,"Powder Blue, True Wireless","('60H', 'H')",₹999,"₹5,999",4.1,"(74,168)",83% off
352,Mivi,"Metallic Blue, True Wireless",,"₹3,999","₹6,999",4,(25),42% off
353,Jeevan,"Black, True Wireless",,₹436,"₹1,299",5,(3),66% off
354,Soundcore,"Black, True Wireless",,"₹7,999","₹10,999",4.3,(645),27% off
355,Infinix,"Black, True Wireless",,"₹1,099","₹2,999",4,(148),63% off
356,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
357,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
358,Pb,"Dark Green, True Wireless",,₹376,"₹1,999",4.1,(8),81% off
359,Mivi,"Popular Peach, True Wireless",,"₹1,499","₹6,499",4,(440),76% off
360,Aroma,"Electric White, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
361,Noise,"Midnight Blue, True Wireless","('50 H', 'H')",₹899,"₹2,999",4,"(5,99,343)",70% off
362,Chaebol,"Blue, True Wireless",,₹697,"₹1,997",4.3,(3),65% off
363,Mivi,"Peach fuzz, True Wireless",,₹999,"₹4,999",4,"(11,406)",80% off
364,Noise,"Powder Blue, True Wireless","('50H', 'H')","₹2,499","₹5,499",4,"(3,857)",54% off
365,JUST,"White, True Wireless",,"₹1,079","₹3,499",4.2,(9),69% off
366,Aroma,"Electric Blue, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
367,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
368,snowbudy,"Blue, True Wireless",,₹630,"₹2,990",4,(42),78% off
369,Beats,"Arctic Purple, True Wireless",,"₹4,900","₹6,900",4,(80),28% off
370,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
371,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
372,OnePlus,"Thunder Gray, True Wireless",,"₹2,699","₹3,299",4.3,"(97,219)",18% off
373,Beats,"Matte Black, True Wireless",,"₹4,900","₹6,900",4,(80),28% off
374,boAt,"White, True Wireless","('40 H', 'H')","₹3,499",,4,"(31,871)",
375,DIGIBUDS,"Black, True Wireless",,₹600,"₹5,999",4.1,(11),89% off
376,Aroma,"Galaxy Black, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
377,Aroma,"White, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
378,Nu,"Green, True Wireless","('64 hrs', 'hrs')","₹1,499","₹4,999",4.7,(157),70% off
379,IZWI,"Black, True Wireless",,₹807,"₹5,490",5,(4),85% off
380,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
381,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
382,Pb,"Black, True Wireless",,₹376,"₹1,299",3.8,(6),71% off
383,itel,"Black, True Wireless","('30H', 'H')","₹1,399","₹3,499",4.1,(29),60% off
384,INNOMAX,"Black, True Wireless",,₹595,"₹4,899",4.1,(11),87% off
385,PTron,"White, True Wireless","('45H', 'H')",₹999,"₹4,599",4.1,(102),78% off
386,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
387,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
388,Bose,"Black, True Wireless",,"₹26,900",,4,(406),
389,SONY,"Green, True Wireless","('20H', 'H')","₹4,490","₹8,990",4.1,"(12,729)",50% off
390,Boult,"Powder Blue, True Wireless","('60H', 'H')",₹999,"₹5,999",4.1,"(74,168)",83% off
391,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
392,Inbase,"Black, True Wireless",,₹900,"₹2,499",4.2,(5),63% off
393,Tunifi,"Blue, True Wireless","('771 H', 'H')",₹579,"₹5,999",4,"(1,661)",90% off
394,house,"White, True Wireless",,₹386,"₹1,999",4.6,(14),80% off
395,TRIGGR,"Shadow Grey, True Wireless",,₹999,"₹3,999",4,"(58,593)",75% off
396,Boult,"Black, True Wireless","('70H', 'H')",₹999,"₹3,499",4.1,"(31,256)",71% off
397,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
398,SONY,"White, True Wireless","('20H', 'H')","₹6,990","₹12,990",4.1,(966),46% off
399,boAt,"Black Sabre, True Wireless","('30 H', 'H')","₹1,299","₹3,299",4,"(23,382)",60% off
